post_title,post_content,direccion,coordenada,tipoligia,agua,luz,cobertura,estado_conservacion,propiedad,ID,Excerpt,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured
Torreón de Fernán González,,,,,,,,,,5210,Covarrubias,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-exterior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-catapulta.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-patio.jpg,Torreon-Covarrubias-exterior.jpg|Torreon-Covarrubias-catapulta.jpg|Torreon-Covarrubias-patio.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Torreon-Covarrubias-exterior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Torreon-Covarrubias-catapulta.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Torreon-Covarrubias-patio.jpg,5216|5214|5218,Torreon Covarrubias exterior|Torreon Covarrubias catapulta|Torreon Covarrubias patio,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-exterior.jpg
Fernán González Tower,,,,,,,,,,5211,Covarrubias,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-exterior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-catapulta.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-patio.jpg,Torreon-Covarrubias-exterior.jpg|Torreon-Covarrubias-catapulta.jpg|Torreon-Covarrubias-patio.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Torreon-Covarrubias-exterior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Torreon-Covarrubias-catapulta.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Torreon-Covarrubias-patio.jpg,5217|5215|5219,Torreon Covarrubias exterior|Torreon Covarrubias catapulta|Torreon Covarrubias patio,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Torreon-Covarrubias-exterior.jpg
Torreón de Haza,,,,,,,,,,5226,Haza,https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-pueblo.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-acceso.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-bodegas.jpg,torreon-haza-pueblo.jpg|torreon-haza-acceso.jpg|torreon-haza-bodegas.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/torreon-haza-pueblo.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/torreon-haza-acceso.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/torreon-haza-bodegas.jpg,5235|5231|5233,torreon haza pueblo|torreon haza acceso|torreon haza bodegas,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-pueblo.jpg
Haza Tower,,,,,,,,,,5227,Haza,https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-pueblo.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-acceso.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-bodegas.jpg,torreon-haza-pueblo.jpg|torreon-haza-acceso.jpg|torreon-haza-bodegas.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/torreon-haza-pueblo.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/torreon-haza-acceso.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/torreon-haza-bodegas.jpg,5236|5232|5234,torreon haza pueblo|torreon haza acceso|torreon haza bodegas,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/torreon-haza-pueblo.jpg
Granero de San Francisco,,,,,,,,,,5228,Santa Gadea del Cid,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-lavanda.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-exterior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-interior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/granerao3.jpeg,Granero-SanFrancisco-lavanda.jpg|Granero-SanFrancisco-exterior.jpg|Granero-SanFrancisco-interior.jpg|granerao3.jpeg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Granero-SanFrancisco-lavanda.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Granero-SanFrancisco-exterior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Granero-SanFrancisco-interior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/granerao3.jpeg,5248|5244|5246|9056,Granero SanFrancisco lavanda|Granero SanFrancisco exterior|Granero SanFrancisco interior|granerao3,|||,|||,|||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-lavanda.jpg
San Francisco Barn,,,,,,,,,,5229,Santa Gadea del Cid,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-lavanda.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-exterior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-interior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/granerao3.jpeg,Granero-SanFrancisco-lavanda.jpg|Granero-SanFrancisco-exterior.jpg|Granero-SanFrancisco-interior.jpg|granerao3.jpeg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Granero-SanFrancisco-lavanda.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Granero-SanFrancisco-exterior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Granero-SanFrancisco-interior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/granerao3.jpeg,5249|5245|5247|9057,Granero SanFrancisco lavanda|Granero SanFrancisco exterior|Granero SanFrancisco interior|granerao3,|||,|||,|||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Granero-SanFrancisco-lavanda.jpg
Gasolinera de Quintanapalla,,,,,,,,,,5251,Quintanapalla,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-surtidores.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-panoramica.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-tienda.jpg,Gasolinera-Quintanapalla-surtidores.jpg|Gasolinera-Quintanapalla-panoramica.jpg|Gasolinera-Quintanapalla-tienda.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-surtidores.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-panoramica.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-tienda.jpg,5256|5254|5258,Gasolinera Quintanapalla surtidores|Gasolinera Quintanapalla panoramica|Gasolinera Quintanapalla tienda,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-surtidores.jpg
Quintanapalla Gas Station,,,,,,,,,,5252,Quintanapalla,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-surtidores.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-panoramica.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-tienda.jpg,Gasolinera-Quintanapalla-surtidores.jpg|Gasolinera-Quintanapalla-panoramica.jpg|Gasolinera-Quintanapalla-tienda.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-surtidores.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-panoramica.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-tienda.jpg,5257|5255|5259,Gasolinera Quintanapalla surtidores|Gasolinera Quintanapalla panoramica|Gasolinera Quintanapalla tienda,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Gasolinera-Quintanapalla-surtidores.jpg
Droguería de Huerta de Rey,,,,,,,,,,5261,Huerta de Rey,https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_exterior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_estanteria.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_mostrador.jpg,drogueria_huerta_exterior.jpg|drogueria_huerta_estanteria.jpg|drogueria_huerta_mostrador.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/drogueria_huerta_exterior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/drogueria_huerta_estanteria.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/drogueria_huerta_mostrador.jpg,5266|5264|5268,drogueria_huerta_exterior|drogueria_huerta_estanteria|drogueria_huerta_mostrador,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_exterior.jpg
Store in Huerta de Rey,,,,,,,,,,5262,Huerta de Rey,https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_exterior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_estanteria.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_mostrador.jpg,drogueria_huerta_exterior.jpg|drogueria_huerta_estanteria.jpg|drogueria_huerta_mostrador.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/drogueria_huerta_exterior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/drogueria_huerta_estanteria.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/drogueria_huerta_mostrador.jpg,5267|5265|5269,drogueria_huerta_exterior|drogueria_huerta_estanteria|drogueria_huerta_mostrador,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/drogueria_huerta_exterior.jpg
Convento de San Antón,,,,,,,,,,5272,Castrojeriz,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-drone.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-interior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-peregrino.jpg,Convento-SanAnton-drone.jpg|Convento-SanAnton-interior.jpg|Convento-SanAnton-peregrino.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Convento-SanAnton-drone.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Convento-SanAnton-interior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Convento-SanAnton-peregrino.jpg,5275|5277|5279,Convento SanAnton drone|Convento SanAnton interior|Convento SanAnton peregrino,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-drone.jpg
San Antón Convent,,,,,,,,,,5273,Castrojeriz,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-drone.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-interior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-peregrino.jpg,Convento-SanAnton-drone.jpg|Convento-SanAnton-interior.jpg|Convento-SanAnton-peregrino.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Convento-SanAnton-drone.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Convento-SanAnton-interior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Convento-SanAnton-peregrino.jpg,5276|5278|5280,Convento SanAnton drone|Convento SanAnton interior|Convento SanAnton peregrino,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Convento-SanAnton-drone.jpg
Colegio de Peñaranda,,,,,,,,,,5285,Peñaranda de Duero,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Patio.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Aula.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Comedor.jpg,Colegio-Penaranda-Patio.jpg|Colegio-Penaranda-Aula.jpg|Colegio-Penaranda-Comedor.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Colegio-Penaranda-Patio.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Colegio-Penaranda-Aula.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Colegio-Penaranda-Comedor.jpg,5293|5289|5291,Colegio Penaranda Patio|Colegio Penaranda Aula|Colegio Penaranda Comedor,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Patio.jpg
Peñaranda School,,,,,,,,,,5286,Peñaranda de Duero,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Comedor.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Aula.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Patio.jpg,Colegio-Penaranda-Comedor.jpg|Colegio-Penaranda-Aula.jpg|Colegio-Penaranda-Patio.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Colegio-Penaranda-Comedor.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Colegio-Penaranda-Aula.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Colegio-Penaranda-Patio.jpg,5292|5290|5294,Colegio Penaranda Comedor|Colegio Penaranda Aula|Colegio Penaranda Patio,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Colegio-Penaranda-Comedor.jpg
Teatro Principal,,"paseo del Espolón s/n, 09003 Burgos",42º 20´ 18´´ N – 3º 41´ 59´´ W,arquitectura histórica.,sí.,sí.,sí.,muy bueno.,"pública, es necesario contacto previo para el acceso.",5296,Burgos,https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Teatro-Principal-Burgos-edificio.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Teatro-Principal-Burgos-Patio-Butacas.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Teatro-Principal-Burgos-salon-rojo.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro4.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro5.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro6.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro7.jpg,teatro1.jpg|Teatro-Principal-Burgos-edificio.jpg|Teatro-Principal-Burgos-Patio-Butacas.jpg|Teatro-Principal-Burgos-salon-rojo.jpg|teatro2.jpg|teatro3.jpg|teatro4.jpg|teatro5.jpg|teatro6.jpg|teatro7.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Teatro-Principal-Burgos-edificio.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Teatro-Principal-Burgos-Patio-Butacas.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Teatro-Principal-Burgos-salon-rojo.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro4.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro5.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro6.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro7.jpg,8201|5299|5301|5303|8203|8205|8207|8209|8211|8213,teatro1|Teatro Principal Burgos edificio|Teatro Principal Burgos Patio Butacas|Teatro Principal Burgos salon rojo|teatro2|teatro3|teatro4|teatro5|teatro6|teatro7,|||||||||,|||||||||,|||||||||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro1.jpg
Principal Theatre,,,,,,,,,,5297,Burgos,https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Teatro-Principal-Burgos-edificio.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Teatro-Principal-Burgos-Patio-Butacas.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Teatro-Principal-Burgos-salon-rojo.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro4.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro5.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro6.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro7.jpg,teatro1.jpg|Teatro-Principal-Burgos-edificio.jpg|Teatro-Principal-Burgos-Patio-Butacas.jpg|Teatro-Principal-Burgos-salon-rojo.jpg|teatro2.jpg|teatro3.jpg|teatro4.jpg|teatro5.jpg|teatro6.jpg|teatro7.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Teatro-Principal-Burgos-edificio.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Teatro-Principal-Burgos-Patio-Butacas.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Teatro-Principal-Burgos-salon-rojo.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro4.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro5.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro6.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/teatro7.jpg,8202|5300|5302|5304|8204|8206|8208|8210|8212|8214,teatro1|Teatro Principal Burgos edificio|Teatro Principal Burgos Patio Butacas|Teatro Principal Burgos salon rojo|teatro2|teatro3|teatro4|teatro5|teatro6|teatro7,|||||||||,|||||||||,|||||||||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/teatro1.jpg
Sala Andén 56,,,,,,,,,,5306,Burgos,https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Sala-Hangar-fachada.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Sala-Hangar-interior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Sala-Hangar-Trasera.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden4.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden5.jpg,SalaAnden1.jpg|Sala-Hangar-fachada.jpg|Sala-Hangar-interior.jpg|Sala-Hangar-Trasera.jpg|SalaAnden2.jpg|SalaAnden3.jpg|SalaAnden4.jpg|SalaAnden5.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Sala-Hangar-fachada.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Sala-Hangar-interior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Sala-Hangar-Trasera.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden4.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden5.jpg,9084|5309|5311|5313|9086|9088|9090|9092,SalaAnden1|Sala Hangar fachada|Sala Hangar interior|Sala Hangar Trasera|SalaAnden2|SalaAnden3|SalaAnden4|SalaAnden5,|||||||,|||||||,|||||||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden1.jpg
Sala Andén 56,,,,,,,,,,5307,Burgos,https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden1.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Sala-Hangar-fachada.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Sala-Hangar-interior.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Sala-Hangar-Trasera.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden2.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden3.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden4.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden5.jpg,SalaAnden1.jpg|Sala-Hangar-fachada.jpg|Sala-Hangar-interior.jpg|Sala-Hangar-Trasera.jpg|SalaAnden2.jpg|SalaAnden3.jpg|SalaAnden4.jpg|SalaAnden5.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden1.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Sala-Hangar-fachada.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Sala-Hangar-interior.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Sala-Hangar-Trasera.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden2.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden3.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden4.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/SalaAnden5.jpg,9085|5310|5312|5314|9087|9089|9091|9093,SalaAnden1|Sala Hangar fachada|Sala Hangar interior|Sala Hangar Trasera|SalaAnden2|SalaAnden3|SalaAnden4|SalaAnden5,|||||||,|||||||,|||||||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/SalaAnden1.jpg
Bodega subterránea Lagar,,,,,,,,,,5317,Aranda de Duero,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Botelleros.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Depositos.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-escalera.jpg,Bodega-Subterranea-Lagar-Botelleros.jpg|Bodega-Subterranea-Lagar-Depositos.jpg|Bodega-Subterranea-Lagar-escalera.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Botelleros.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Depositos.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-escalera.jpg,5320|5322|5324,Bodega Subterranea Lagar Botelleros|Bodega Subterranea Lagar Depositos|Bodega Subterranea Lagar escalera,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Botelleros.jpg
Subway Winery El Lagar,,,,,,,,,,5318,Aranda de Duero,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Botelleros.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Depositos.jpg|https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-escalera.jpg,Bodega-Subterranea-Lagar-Botelleros.jpg|Bodega-Subterranea-Lagar-Depositos.jpg|Bodega-Subterranea-Lagar-escalera.jpg,/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Botelleros.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Depositos.jpg|/var/www/vhosts/burgosfilmcommission.org/httpdocs/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-escalera.jpg,5321|5323|5325,Bodega Subterranea Lagar Botelleros|Bodega Subterranea Lagar Depositos|Bodega Subterranea Lagar escalera,||,||,||,https://burgosfilmcommission.org/wp-content/uploads/2021/04/Bodega-Subterranea-Lagar-Botelleros.jpg
